failureModeId,failureModeName,stageId,framework,provision,role,status
AGF-F003,No risk-tier taxonomy,AGF-TA01,EU AI Act,Art. 6 and Annex III — high-risk classification. An organization with no internal tiering cannot determine which of its systems fall inside the regime.,Provider & deployer,future
AGF-F003,No risk-tier taxonomy,AGF-TA01,SR 26-2,"Materiality-based scoping — the 2026 guidance expects tailoring to model risk profile, which presupposes a classification scheme",Banking organization,live
AGF-F003,No risk-tier taxonomy,AGF-TA01,NIST AI RMF,MAP-1 — context and categorization,Organization,stayed
AGF-F003,No risk-tier taxonomy,AGF-TA01,ISO/IEC 42001,Clause 6.1 risk planning; A.5 assessing impacts of AI systems,Organization,stayed
AGF-F010,Intake bypass,AGF-TA02,EU AI Act,"Art. 26 — deployer obligations, including use in accordance with instructions. Cannot be discharged for a system the organization does not know it operates.",Deployer,future
AGF-F010,Intake bypass,AGF-TA02,EU AI Act,Art. 4 — AI literacy across staff operating AI systems,Provider & deployer,live
AGF-F010,Intake bypass,AGF-TA02,NIST AI RMF,"GOVERN-1, MAP-1 — inventory and context establishment",Organization,stayed
AGF-F010,Intake bypass,AGF-TA02,ISO/IEC 42001,Clause 6.1 planning; Clause 8.1 operational planning and control,Organization,stayed
AGF-F010,Intake bypass,AGF-TA02,SR 26-2,Model inventory completeness and scope determination,Banking organization,live
AGF-F011,Unsanctioned AI use,AGF-TA02,EU AI Act,"Art. 4 — AI literacy obligation, in force since 2 Feb 2025. The clearest currently-enforceable hook for ungoverned staff use.",Provider & deployer,live
AGF-F011,Unsanctioned AI use,AGF-TA02,EU AI Act,"Art. 50 — where unsanctioned output reaches customers, the disclosure duty still attaches",Deployer,live
AGF-F011,Unsanctioned AI use,AGF-TA02,NIST AI RMF,"GOVERN-1, MAP-1 — inventory and context",Organization,stayed
AGF-F011,Unsanctioned AI use,AGF-TA02,ISO/IEC 42001,Clause 4.1 context; A.2 policies related to AI; A.9 use of AI systems,Organization,stayed
AGF-F011,Unsanctioned AI use,AGF-TA02,SR 26-2,Inventory and scope determination,Banking organization,live
AGF-F015,Vendor-supplied AI uncaptured in inventory,AGF-TA02,EU AI Act,Art. 26 — deployer obligations attach regardless of whether the organization realises the system is in scope,Deployer,future
AGF-F015,Vendor-supplied AI uncaptured in inventory,AGF-TA02,EU AI Act,"Art. 50 — transparency duties attach by system function, including where the function arrived in a vendor update",Deployer,live
AGF-F015,Vendor-supplied AI uncaptured in inventory,AGF-TA02,NIST AI RMF,MAP-1 inventory and context; MANAGE-3 third-party risk,Organization,stayed
AGF-F015,Vendor-supplied AI uncaptured in inventory,AGF-TA02,ISO/IEC 42001,A.10 — third-party and customer relationships; Clause 8.1 operational control,Organization,stayed
AGF-F015,Vendor-supplied AI uncaptured in inventory,AGF-TA02,SR 26-2,Vendor and third-party model inventory,Banking organization,live
AGF-F016,Agentic components not distinguished from models,AGF-TA02,SR 26-2,"Footnote 3 to § II excludes agentic AI from model risk management scope, so no supervisory template exists and institutions must self-determine controls",Banking organization,live
AGF-F016,Agentic components not distinguished from models,AGF-TA02,EU AI Act,Art. 6 and Annex III classification — an agent taking consequential action may fall in scope where an advisory model does not,Provider & deployer,future
AGF-F016,Agentic components not distinguished from models,AGF-TA02,NIST AI RMF,MAP-1 context and capability; MANAGE-1 risk treatment,Organization,stayed
AGF-F016,Agentic components not distinguished from models,AGF-TA02,ISO/IEC 42001,A.6 AI system life cycle; A.9 responsible use,Organization,stayed
AGF-F018,No triage or routing layer,AGF-TA02,NIST AI RMF,GOVERN-2 — accountability structures and role clarity,Organization,stayed
AGF-F018,No triage or routing layer,AGF-TA02,ISO/IEC 42001,"Clause 5.3 — organizational roles, responsibilities and authorities",Organization,stayed
AGF-F018,No triage or routing layer,AGF-TA02,SR 26-2,Governance and accountability expectations,Banking organization,live
AGF-F018,No triage or routing layer,AGF-TA02,No direct obligation,"Process-design failure with no specific statutory hook. Mapped for completeness, not compliance.",Organization,stayed
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,EU AI Act,Art. 50(1) — disclosure that a person is interacting with an AI system,Provider & deployer,live
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,EU AI Act,Art. 50(2) — machine-readable marking of synthetic content. Systems placed on the market before 2 Aug 2026 have until 2 Dec 2026.,Provider,live
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,EU AI Act,Art. 50(4) — deepfake and public-interest text disclosure,Deployer,live
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,Colorado SB 26-189,Pre-use notice that an automated decision-making technology will be used,Developer & deployer,future
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,NIST AI RMF,"GOVERN-4, MAP-3 — transparency and impact characterization",Organization,stayed
AGF-F023,Transparency-triggering uses not flagged,AGF-TA03,ISO/IEC 42001,A.8 — information for interested parties,Organization,stayed
AGF-F027,Undifferentiated review burden,AGF-TA03,SR 26-2,"Materiality-proportionate validation — the 2026 guidance explicitly moves toward tailoring and risk-based scaling, making undifferentiated review a departure from current supervisory expectation rather than a conservative reading of it",Banking organization,live
AGF-F027,Undifferentiated review burden,AGF-TA03,EU AI Act,Art. 9 — risk management system proportionate to risk,Provider,future
AGF-F027,Undifferentiated review burden,AGF-TA03,NIST AI RMF,"MAP-1, MANAGE-1 — risk prioritization and resource allocation",Organization,stayed
AGF-F027,Undifferentiated review burden,AGF-TA03,ISO/IEC 42001,"Clause 6.1 — actions to address risks and opportunities, proportionate to impact",Organization,stayed
AGF-F031,Stale approval,AGF-TA04,EU AI Act,"Art. 72 — post-market monitoring system, running across the operational lifetime. Corrected in v0.3 from Art. 61, cited in error in earlier versions.",Provider,future
AGF-F031,Stale approval,AGF-TA04,EU AI Act,"Art. 9 — risk management as a continuous iterative process, not a one-time assessment",Provider,future
AGF-F031,Stale approval,AGF-TA04,NIST AI RMF,"MANAGE-2, GOVERN-1 — ongoing management and policy currency",Organization,stayed
AGF-F031,Stale approval,AGF-TA04,ISO/IEC 42001,Clause 9 performance evaluation; Clause 10 improvement,Organization,stayed
AGF-F031,Stale approval,AGF-TA04,SR 26-2,Ongoing monitoring and periodic review,Banking organization,live
AGF-F031,Stale approval,AGF-TA04,GAMP 5,Periodic review requirements,Regulated organization,stayed
AGF-F032,Use outside approved scope,AGF-TA04,EU AI Act,Art. 26 — deployers must use the system in accordance with the provider's instructions for use. Use outside intended purpose is the clearest deployer-side breach in the Act.,Deployer,future
AGF-F032,Use outside approved scope,AGF-TA04,EU AI Act,"Art. 50 — a scope extension into customer-facing output activates transparency duties immediately, independent of the high-risk deferral",Deployer,live
AGF-F032,Use outside approved scope,AGF-TA04,EU AI Act,Art. 25 — a deployer who substantially modifies purpose may itself become a provider,Deployer,future
AGF-F032,Use outside approved scope,AGF-TA04,NIST AI RMF,"MAP-1, MANAGE-1 — intended purpose and context",Organization,stayed
AGF-F032,Use outside approved scope,AGF-TA04,ISO/IEC 42001,A.9 — responsible use of AI systems; Clause 8 operational control,Organization,stayed
AGF-F032,Use outside approved scope,AGF-TA04,GxP,Intended-use documentation and validated state,Regulated organization,stayed
AGF-F032,Use outside approved scope,AGF-TA04,SR 26-2,Use consistent with validation scope,Banking organization,live
AGF-F033,Conditional-approval conditions never verified,AGF-TA04,ISO/IEC 42001,"Clause 10.2 — corrective action, including verification of effectiveness",Organization,stayed
AGF-F033,Conditional-approval conditions never verified,AGF-TA04,EU AI Act,"Art. 9 — risk management measures must be implemented, not only identified",Provider,future
AGF-F033,Conditional-approval conditions never verified,AGF-TA04,GxP,CAPA effectiveness verification; conditional release controls,Regulated organization,stayed
AGF-F033,Conditional-approval conditions never verified,AGF-TA04,SR 26-2,Issue management and validation findings closure,Banking organization,live
AGF-F033,Conditional-approval conditions never verified,AGF-TA04,NIST AI RMF,"MANAGE-1, MANAGE-4 — risk treatment and its documentation",Organization,stayed
AGF-F037,No service level on review decisions,AGF-TA04,NIST AI RMF,"GOVERN-2, GOVERN-4 — accountability structures and organizational practice",Organization,stayed
AGF-F037,No service level on review decisions,AGF-TA04,ISO/IEC 42001,Clause 5.3 roles and authorities; Clause 9.1 monitoring and measurement,Organization,stayed
AGF-F037,No service level on review decisions,AGF-TA04,SR 26-2,Governance and accountability expectations,Banking organization,live
AGF-F037,No service level on review decisions,AGF-TA04,No direct obligation,No instrument mandates a governance service level. The regulatory consequence is indirect: latency causes the bypass and unsanctioned-use failures that do carry obligations.,Organization,stayed
AGF-F038,No precedent reuse,AGF-TA04,NIST AI RMF,"GOVERN-1, GOVERN-4 — policy, process and organizational knowledge",Organization,stayed
AGF-F038,No precedent reuse,AGF-TA04,ISO/IEC 42001,Clause 7.5 — documented information,Organization,stayed
AGF-F038,No precedent reuse,AGF-TA04,SR 26-2,Documentation expectations supporting consistent treatment,Banking organization,live
AGF-F039,Review sequencing mismatch,AGF-TA04,EU AI Act,Art. 17 — quality management system covering the design and sequence of control processes. EN 18286:2026 is the supporting harmonized standard.,Provider,future
AGF-F039,Review sequencing mismatch,AGF-TA04,NIST AI RMF,"GOVERN-2, MANAGE-1 — process design and accountability",Organization,stayed
AGF-F039,Review sequencing mismatch,AGF-TA04,ISO/IEC 42001,Clause 8.1 — operational planning and control,Organization,stayed
